I,J,Theta_i,Theta_j,Quantum_Distance
0.0,1.0,0.1896136157743894,0.3217505543966422,0.00390625
0.0,2.0,0.1896136157743894,0.3080527810237764,0.0
0.0,3.0,0.1896136157743894,0.43587697240738504,0.0
0.0,4.0,0.1896136157743894,0.5404195002705842,0.00390625
0.0,5.0,0.1896136157743894,1.1071487177940904,0.0625
0.0,6.0,0.1896136157743894,0.9272952180016122,0.0859375
0.0,7.0,0.1896136157743894,1.4501726582147938,0.1796875
0.0,8.0,0.1896136157743894,0.7853981633974483,0.04296875
0.0,9.0,0.1896136157743894,0.7277697359199743,0.03125
0.0,10.0,0.1896136157743894,0.83620186745567,0.02734375
0.0,11.0,0.1896136157743894,0.960070362405688,0.05859375
0.0,12.0,0.1896136157743894,0.6709578581273848,0.03125
0.0,13.0,0.1896136157743894,0.7853981633974483,0.03515625
0.0,14.0,0.1896136157743894,0.8017901377054536,0.0625
0.0,15.0,0.1896136157743894,0.9782379461100991,0.07421875
0.0,16.0,0.1896136157743894,1.2739516534184936,0.12109375
0.0,17.0,0.1896136157743894,1.252141737738804,0.14453125
0.0,18.0,0.1896136157743894,1.5091461561556376,0.203125
0.0,19.0,0.1896136157743894,1.3510996320536262,0.1640625
1.0,1.0,0.3217505543966422,0.3080527810237764,0.0
1.0,2.0,0.3217505543966422,0.43587697240738504,0.0
1.0,3.0,0.3217505543966422,0.5404195002705842,0.00390625
1.0,4.0,0.3217505543966422,1.1071487177940904,0.0625
1.0,5.0,0.3217505543966422,0.9272952180016122,0.0625
1.0,6.0,0.3217505543966422,1.4501726582147938,0.13671875
1.0,7.0,0.3217505543966422,0.7853981633974483,0.015625
1.0,8.0,0.3217505543966422,0.7277697359199743,0.02734375
1.0,9.0,0.3217505543966422,0.83620186745567,0.0234375
1.0,10.0,0.3217505543966422,0.960070362405688,0.0625
1.0,11.0,0.3217505543966422,0.6709578581273848,0.01953125
1.0,12.0,0.3217505543966422,0.7853981633974483,0.03125
1.0,13.0,0.3217505543966422,0.8017901377054536,0.046875
1.0,14.0,0.3217505543966422,0.9782379461100991,0.0625
1.0,15.0,0.3217505543966422,1.2739516534184936,0.08984375
1.0,16.0,0.3217505543966422,1.252141737738804,0.12109375
1.0,17.0,0.3217505543966422,1.5091461561556376,0.1328125
1.0,18.0,0.3217505543966422,1.3510996320536262,0.11328125
2.0,1.0,0.3080527810237764,0.43587697240738504,0.0078125
2.0,2.0,0.3080527810237764,0.5404195002705842,0.00390625
2.0,3.0,0.3080527810237764,1.1071487177940904,0.05859375
2.0,4.0,0.3080527810237764,0.9272952180016122,0.0546875
2.0,5.0,0.3080527810237764,1.4501726582147938,0.16796875
2.0,6.0,0.3080527810237764,0.7853981633974483,0.02734375
2.0,7.0,0.3080527810237764,0.7277697359199743,0.0234375
2.0,8.0,0.3080527810237764,0.83620186745567,0.03515625
2.0,9.0,0.3080527810237764,0.960070362405688,0.02734375
2.0,10.0,0.3080527810237764,0.6709578581273848,0.015625
2.0,11.0,0.3080527810237764,0.7853981633974483,0.0390625
2.0,12.0,0.3080527810237764,0.8017901377054536,0.03125
2.0,13.0,0.3080527810237764,0.9782379461100991,0.04296875
2.0,14.0,0.3080527810237764,1.2739516534184936,0.1015625
2.0,15.0,0.3080527810237764,1.252141737738804,0.09375
2.0,16.0,0.3080527810237764,1.5091461561556376,0.15625
2.0,17.0,0.3080527810237764,1.3510996320536262,0.12109375
